brand,model,body,color,year,fuel,kilometers,engine,transmission,price,gov
Hyundai,Accent,Sedan,White,2005,Natural Gas,200000,1400 - 1500 CC,Manual,58000.0,Suez
Hyundai,Accent,Sedan,Burgundy,2007,Benzine,200000,1600 CC,Manual,125000.0,Giza
Hyundai,Accent,Sedan,White,2015,Benzine,9999,1600 CC,Automatic,185000.0,Cairo
Hyundai,Accent,Sedan,Silver,1999,Benzine,200000,1400 - 1500 CC,Automatic,85000.0,Monufia
Hyundai,Accent,Sedan,Black,2012,Benzine,119999,1600 CC,Automatic,160000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,White,1996,Benzine,199999,1000 - 1300 CC,Manual,55000.0,Qalyubia
Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,200000,1600 CC,Manual,135000.0,Giza
Hyundai,Accent,Sedan,Silver,2011,Benzine,139999,1600 CC,Automatic,175000.0,Beni Suef
Hyundai,Accent,Sedan,Blue- Navy Blue,1998,Benzine,159999,1400 - 1500 CC,Manual,64000.0,Qalyubia
Hyundai,Accent,Sedan,Gray,2019,Benzine,19999,1600 CC,Automatic,250000.0,Cairo
Hyundai,Accent,Sedan,Green,1998,Benzine,199999,1000 - 1300 CC,Manual,83000.0,Asyut
Hyundai,Accent,Sedan,Other Color,2006,Benzine,29999,1000 - 1300 CC,Manual,65000.0,Suez
Hyundai,Accent,Sedan,White,2017,Benzine,179999,1600 CC,Automatic,225000.0,Sharqia
Hyundai,Accent,Sedan,Other Color,2010,Benzine,29999,1600 CC,Manual,145000.0,Alexandria
Hyundai,Accent,Sedan,Gray,2006,Benzine,119999,1000 - 1300 CC,Manual,87000.0,Cairo
Hyundai,Accent,Sedan,Black,2017,Benzine,119999,1400 - 1500 CC,Automatic,227000.0,Alexandria
Hyundai,Accent,Sedan,Burgundy,2012,Benzine,199999,1600 CC,Automatic,175000.0,Cairo
Hyundai,Accent,Sedan,Other Color,1998,Benzine,199999,1400 - 1500 CC,Manual,60000.0,Cairo
Hyundai,Accent,Sedan,White,2000,Benzine,19999,1400 - 1500 CC,Automatic,90000.0,Dakahlia
Hyundai,Accent,Sedan,Red,2011,Benzine,199999,1600 CC,Automatic,150000.0,Monufia
Hyundai,Accent,Sedan,Other Color,2002,Benzine,19999,1400 - 1500 CC,Manual,76000.0,Fayoum
Hyundai,Accent,Sedan,Green,2000,Benzine,19999,1400 - 1500 CC,Manual,85000.0,Monufia
Hyundai,Accent,Sedan,Green,1998,Benzine,29999,1400 - 1500 CC,Manual,69000.0,Ismailia
Hyundai,Accent,Sedan,Red,2000,Benzine,200000,1400 - 1500 CC,Manual,73000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,19999,1400 - 1500 CC,Automatic,77000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Red,2000,Benzine,179999,1400 - 1500 CC,Manual,77000.0,Giza
Hyundai,Accent,Sedan,Silver,2001,Benzine,200000,1000 - 1300 CC,Manual,64000.0,Cairo
Hyundai,Accent,Sedan,Silver,2000,Benzine,200000,1400 - 1500 CC,Manual,65000.0,Qalyubia
Hyundai,Accent,Sedan,Silver,1999,Benzine,199999,1400 - 1500 CC,Manual,65000.0,Suez
Hyundai,Accent,Sedan,White,2015,Benzine,79999,1600 CC,Automatic,225000.0,Gharbia
Hyundai,Accent,Sedan,Black,2007,Benzine,159999,1000 - 1300 CC,Manual,120000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2001,Benzine,29999,1000 - 1300 CC,Manual,65000.0,Giza
Hyundai,Accent,Sedan,Silver,2012,Benzine,89999,1600 CC,Automatic,210000.0,Cairo
Hyundai,Accent,Sedan,Green,2006,Natural Gas,39999,1000 - 1300 CC,Automatic,76000.0,Ismailia
Hyundai,Accent,Sedan,Silver,2015,Benzine,200000,1600 CC,Automatic,220000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,139999,1600 CC,Automatic,180000.0,Cairo
Hyundai,Accent,Sedan,White,2015,Benzine,119999,1600 CC,Automatic,228000.0,Cairo
Hyundai,Accent,Sedan,Silver,2011,Benzine,139999,1600 CC,Automatic,175000.0,Alexandria
Hyundai,Accent,Sedan,Burgundy,2011,Benzine,69999,1600 CC,Manual,205000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2000,Benzine,200000,1000 - 1300 CC,Manual,68000.0,Ismailia
Hyundai,Accent,Sedan,Yellow,2000,Benzine,9999,1000 - 1300 CC,Manual,75000.0,Cairo
Hyundai,Accent,Sedan,Gray,1999,Benzine,9999,1400 - 1500 CC,Manual,58000.0,Giza
Hyundai,Accent,Sedan,Other Color,2000,Benzine,19999,1400 - 1500 CC,Manual,72500.0,Dakahlia
Hyundai,Accent,Sedan,Black,2008,Benzine,19999,1600 CC,Automatic,164000.0,Monufia
Hyundai,Accent,Sedan,Gold,2010,Benzine,199999,1400 - 1500 CC,Automatic,130000.0,Cairo
Hyundai,Accent,Sedan,Other Color,1999,Benzine,39999,1400 - 1500 CC,Manual,38000.0,Matruh
Hyundai,Accent,Sedan,Silver,2011,Benzine,179999,1600 CC,Automatic,150000.0,Alexandria
Hyundai,Accent,Sedan,Blue- Navy Blue,2007,Benzine,159999,1600 CC,Manual,135000.0,Beheira
Hyundai,Accent,Sedan,Silver,2016,Benzine,159999,1600 CC,Automatic,210000.0,Sharqia
Hyundai,Accent,Sedan,Other Color,2009,Benzine,159999,1600 CC,Automatic,130000.0,Cairo
Hyundai,Accent,Sedan,Brown,2017,Benzine,89999,1600 CC,Automatic,230000.0,Qena
Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,159999,1600 CC,Automatic,160000.0,Beheira
Hyundai,Accent,Sedan,Silver,2010,Benzine,199999,1600 CC,Manual,125000.0,Giza
Hyundai,Accent,Sedan,Gold,2000,Benzine,179999,1600 CC,Manual,68000.0,Asyut
Hyundai,Accent,Sedan,Orange,2010,Benzine,119999,1600 CC,Manual,115000.0,Cairo
Hyundai,Accent,Sedan,Silver,2016,Benzine,69999,1600 CC,Automatic,240000.0,Giza
Hyundai,Accent,Sedan,Silver,2021,Benzine,19999,1600 CC,Automatic,280000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2000,Benzine,119999,1000 - 1300 CC,Manual,70000.0,Damietta
Hyundai,Accent,Sedan,Other Color,2006,Benzine,200000,1000 - 1300 CC,Manual,75000.0,Damietta
Hyundai,Accent,Sedan,White,2005,Benzine,200000,1400 - 1500 CC,Manual,62000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,99999,1600 CC,Automatic,142000.0,Minya
Hyundai,Accent,Sedan,Black,2011,Benzine,9999,1600 CC,Manual,145000.0,Sharqia
Hyundai,Accent,Sedan,Gray,2010,Benzine,89999,1600 CC,Manual,110000.0,Ismailia
Hyundai,Accent,Sedan,Blue- Navy Blue,2017,Benzine,139999,1600 CC,Automatic,240000.0,Cairo
Hyundai,Accent,Sedan,Silver,2004,Benzine,200000,1000 - 1300 CC,Manual,70000.0,Gharbia
Hyundai,Accent,Sedan,Red,2012,Benzine,159999,1600 CC,Automatic,180000.0,Giza
Hyundai,Accent,Sedan,Gray,1999,Benzine,199999,1000 - 1300 CC,Manual,80000.0,Asyut
Hyundai,Accent,Sedan,Gray,2008,Benzine,179999,1600 CC,Manual,145000.0,Cairo
Hyundai,Accent,Sedan,White,2006,Benzine,199999,1000 - 1300 CC,Manual,60000.0,Cairo
Hyundai,Accent,Sedan,Burgundy,1998,Benzine,29999,1000 - 1300 CC,Manual,62000.0,Giza
Hyundai,Accent,Sedan,Other Color,2008,Benzine,139999,1600 CC,Manual,130000.0,Qalyubia
Hyundai,Accent,Sedan,Other Color,2009,Benzine,159999,1600 CC,Manual,143000.0,Cairo
Hyundai,Accent,Sedan,Other Color,1998,Benzine,9999,1600 CC,Manual,45000.0,Cairo
Hyundai,Accent,Sedan,Silver,2006,Benzine,29999,1000 - 1300 CC,Manual,120000.0,Cairo
Hyundai,Accent,Sedan,Other Color,1999,Benzine,19999,1400 - 1500 CC,Manual,55000.0,Ismailia
Hyundai,Accent,Sedan,Yellow,1998,Natural Gas,200000,1400 - 1500 CC,Manual,48000.0,Ismailia
Hyundai,Accent,Sedan,Gray,2021,Benzine,19999,1600 CC,Automatic,316000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,39999,1600 CC,Automatic,157000.0,Cairo
Hyundai,Accent,Sedan,Burgundy,2003,Benzine,9999,1000 - 1300 CC,Manual,42000.0,Giza
Hyundai,Accent,Sedan,White,1999,Benzine,159999,1400 - 1500 CC,Manual,79000.0,Giza
Hyundai,Accent,Sedan,Gray,2021,Benzine,79999,1400 - 1500 CC,Automatic,300000.0,Cairo
Hyundai,Accent,Sedan,White,1999,Benzine,199999,1000 - 1300 CC,Manual,58000.0,Ismailia
Hyundai,Accent,Sedan,Other Color,2009,Benzine,159999,1600 CC,Automatic,200000.0,Monufia
Hyundai,Accent,Sedan,Silver,2015,Benzine,139999,1600 CC,Automatic,185000.0,Red Sea
Hyundai,Accent,Sedan,Green,1994,Benzine,39999,1400 - 1500 CC,Manual,50000.0,Giza
Hyundai,Accent,Sedan,Blue- Navy Blue,2012,Benzine,179999,1600 CC,Automatic,185000.0,Fayoum
Hyundai,Accent,Sedan,Blue- Navy Blue,2009,Benzine,119999,1600 CC,Manual,130000.0,Alexandria
Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,19999,1000 - 1300 CC,Manual,77000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,White,2006,Benzine,69999,1400 - 1500 CC,Automatic,85000.0,Qalyubia
Hyundai,Accent,Sedan,Red,2015,Benzine,99999,1600 CC,Automatic,245000.0,Cairo
Hyundai,Accent,Sedan,Black,2011,Benzine,139999,1600 CC,Automatic,165000.0,Cairo
Hyundai,Accent,Sedan,Black,2011,Benzine,179999,1600 CC,Automatic,145000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2009,Benzine,19999,1600 CC,Automatic,140000.0,Fayoum
Hyundai,Accent,Sedan,Gold,1998,Benzine,200000,1400 - 1500 CC,Manual,50000.0,Minya
Hyundai,Accent,Sedan,White,2001,Natural Gas,19999,1000 - 1300 CC,Manual,75000.0,Port Said
